date,apparel_cpi,wages
1985-11-01,224.57627118644066,352.4
1985-12-01,224.78813559322032,354.79999999999995
1986-01-01,224.78813559322032,354.0
1986-02-01,223.3050847457627,355.20000000000005
1986-03-01,222.45762711864407,355.6
1986-04-01,222.45762711864407,355.20000000000005
1986-05-01,222.24576271186442,356.0
1986-06-01,222.24576271186442,356.8
1986-07-01,223.51694915254234,356.4
1986-08-01,225.4237288135593,357.59999999999997
1986-09-01,226.4830508474576,357.59999999999997
1986-10-01,225.8474576271186,358.40000000000003
1986-11-01,226.4830508474576,360.40000000000003
1986-12-01,227.1186440677966,360.40000000000003
1987-01-01,228.81355932203385,360.79999999999995
1987-02-01,230.08474576271186,362.0
1987-03-01,231.35593220338984,362.8
1987-04-01,232.62711864406776,363.2
1987-05-01,233.6864406779661,364.4
1987-06-01,233.6864406779661,364.4
1987-07-01,233.6864406779661,364.79999999999995
1987-08-01,235.1694915254237,367.2
1987-09-01,236.44067796610167,367.59999999999997
1987-10-01,237.9237288135593,368.8
1987-11-01,239.40677966101697,370.79999999999995
1987-12-01,238.77118644067795,371.2
1988-01-01,239.83050847457625,371.59999999999997
1988-02-01,237.49999999999994,371.59999999999997
1988-03-01,240.25423728813558,372.40000000000003
1988-04-01,243.85593220338978,374.4
1988-05-01,243.85593220338978,376.40000000000003
1988-06-01,244.70338983050848,376.40000000000003
1988-07-01,245.55084745762713,378.0
1988-08-01,242.58474576271186,378.40000000000003
1988-09-01,246.39830508474577,380.4
1988-10-01,248.94067796610167,382.40000000000003
1988-11-01,249.36440677966104,383.2
1988-12-01,250.4237288135593,384.0
1989-01-01,250.84745762711864,386.00000000000006
1989-02-01,248.09322033898303,387.2
1989-03-01,250.21186440677963,388.0
1989-04-01,251.27118644067795,390.0
1989-05-01,251.90677966101697,389.59999999999997
1989-06-01,251.4830508474576,390.8
1989-07-01,250.63559322033896,393.2
1989-08-01,248.09322033898303,393.2
1989-09-01,251.4830508474576,394.79999999999995
1989-10-01,253.38983050847457,396.8
1989-11-01,254.23728813559322,397.2
1989-12-01,253.81355932203385,399.2
1990-01-01,254.02542372881354,400.8
1990-02-01,258.47457627118644,402.80000000000007
1990-03-01,262.2881355932203,404.4
1990-04-01,262.9237288135593,404.8
1990-05-01,262.7118644067796,406.4
1990-06-01,263.135593220339,408.0
1990-07-01,263.135593220339,408.8
1990-08-01,263.7711864406779,409.6
1990-09-01,265.6779661016949,410.79999999999995
1990-10-01,265.6779661016949,412.0
1990-11-01,265.6779661016949,412.8
1990-12-01,267.3728813559322,413.6
1991-01-01,268.85593220338984,414.79999999999995
1991-02-01,269.70338983050846,415.6000000000001
1991-03-01,269.06779661016947,416.4
1991-04-01,270.12711864406776,418.40000000000003
1991-05-01,271.18644067796606,420.0
1991-06-01,270.97457627118644,420.4
1991-07-01,272.6694915254237,421.5999999999999
1991-08-01,275.2118644067797,422.40000000000003
1991-09-01,275.4237288135593,423.20000000000005
1991-10-01,275.635593220339,423.59999999999997
1991-11-01,277.5423728813559,424.4
1991-12-01,276.9067796610169,425.6
1992-01-01,277.3305084745763,425.6
1992-02-01,277.5423728813559,426.40000000000003
1992-03-01,278.17796610169495,427.20000000000005
1992-04-01,276.9067796610169,428.8
1992-05-01,278.8135593220339,429.6
1992-06-01,279.8728813559322,430.79999999999995
1992-07-01,281.1440677966101,431.19999999999993
1992-08-01,280.29661016949154,432.4
1992-09-01,280.0847457627118,433.2
1992-10-01,280.7203389830508,434.0
1992-11-01,281.1440677966101,434.3999999999999
1992-12-01,281.35593220338984,436.00000000000006
1993-01-01,281.35593220338984,437.2
1993-02-01,283.89830508474574,438.0
1993-03-01,283.89830508474574,439.59999999999997
1993-04-01,283.89830508474574,439.59999999999997
1993-05-01,282.83898305084745,440.4
1993-06-01,281.77966101694915,441.2
1993-07-01,281.35593220338984,442.0
1993-08-01,283.89830508474574,442.8
1993-09-01,283.26271186440675,443.6
1993-10-01,283.47457627118644,445.2
1993-11-01,284.7457627118644,446.0
1993-12-01,284.11016949152537,447.19999999999993
1994-01-01,282.41525423728814,447.99999999999994
1994-02-01,282.20338983050846,450.0
1994-03-01,283.47457627118644,450.0
1994-04-01,282.83898305084745,450.8
1994-05-01,283.89830508474574,451.6
1994-06-01,285.59322033898303,452.4
1994-07-01,284.32203389830505,453.59999999999997
1994-08-01,282.20338983050846,454.4
1994-09-01,283.05084745762707,455.6
1994-10-01,281.77966101694915,456.79999999999995
1994-11-01,280.7203389830508,458.0
1994-12-01,279.8728813559322,459.20000000000005
1995-01-01,280.0847457627118,459.20000000000005
1995-02-01,279.4491525423729,461.2
1995-03-01,280.0847457627118,462.0
1995-04-01,279.4491525423729,462.40000000000003
1995-05-01,278.8135593220339,463.6
1995-06-01,278.17796610169495,465.2
1995-07-01,278.3898305084746,466.8
1995-08-01,280.7203389830508,467.6
1995-09-01,280.29661016949154,469.20000000000005
1995-10-01,280.50847457627117,470.0
1995-11-01,279.6610169491525,471.2
1995-12-01,280.0847457627118,472.40000000000003
1996-01-01,281.1440677966101,474.4
1996-02-01,280.0847457627118,474.79999999999995
1996-03-01,280.9322033898305,475.6
1996-04-01,279.2372881355932,478.4000000000001
1996-05-01,279.2372881355932,479.2
1996-06-01,278.8135593220339,481.19999999999993
1996-07-01,278.17796610169495,482.0
1996-08-01,276.69491525423723,483.6
1996-09-01,278.17796610169495,485.20000000000005
1996-10-01,278.17796610169495,486.4
1996-11-01,278.8135593220339,488.0
1996-12-01,279.4491525423729,489.59999999999997
1997-01-01,280.29661016949154,491.59999999999997
1997-02-01,281.77966101694915,492.40000000000003
1997-03-01,280.50847457627117,493.99999999999994
1997-04-01,281.77966101694915,495.6
1997-05-01,282.41525423728814,497.19999999999993
1997-06-01,281.99152542372883,498.4
1997-07-01,282.41525423728814,500.0
1997-08-01,281.1440677966101,502.80000000000007
1997-09-01,281.5677966101695,504.0
1997-10-01,281.1440677966101,506.4
1997-11-01,281.1440677966101,508.40000000000003
1997-12-01,281.77966101694915,509.99999999999994
1998-01-01,281.99152542372883,511.59999999999997
1998-02-01,281.77966101694915,513.1999999999999
1998-03-01,281.1440677966101,514.8
1998-04-01,280.29661016949154,516.8000000000001
1998-05-01,281.1440677966101,518.4
1998-06-01,282.41525423728814,519.6
1998-07-01,282.83898305084745,520.0
1998-08-01,286.228813559322,522.8
1998-09-01,281.99152542372883,524.4
1998-10-01,281.1440677966101,525.6
1998-11-01,281.1440677966101,526.8
1998-12-01,279.6610169491525,528.4000000000001
1999-01-01,278.60169491525426,530.8
1999-02-01,277.11864406779665,532.0
1999-03-01,276.2711864406779,533.6
1999-04-01,279.02542372881356,535.2
1999-05-01,279.02542372881356,536.8000000000001
1999-06-01,279.02542372881356,538.8
1999-07-01,278.60169491525426,540.4
1999-08-01,277.3305084745763,541.2
1999-09-01,277.9661016949152,544.4
1999-10-01,278.3898305084746,545.6
1999-11-01,277.5423728813559,546.4000000000001
1999-12-01,278.17796610169495,548.0
2000-01-01,276.9067796610169,549.6
2000-02-01,276.2711864406779,552.0
2000-03-01,276.0593220338983,554.0
2000-04-01,275.0,555.6
2000-05-01,274.78813559322026,557.2
2000-06-01,273.9406779661017,559.2
2000-07-01,273.09322033898303,560.8
2000-08-01,273.09322033898303,562.8
2000-09-01,274.364406779661,565.2
2000-10-01,273.728813559322,566.8000000000001
2000-11-01,273.728813559322,569.2
2000-12-01,273.51694915254234,571.5999999999999
2001-01-01,274.1525423728814,571.5999999999999
2001-02-01,274.57627118644064,574.4
2001-03-01,274.364406779661,576.8
2001-04-01,271.61016949152537,577.6
2001-05-01,269.91525423728814,580.0
2001-06-01,269.91525423728814,581.6
2001-07-01,269.70338983050846,582.0
2001-08-01,267.79661016949154,584.0
2001-09-01,266.52542372881356,584.8
2001-10-01,266.52542372881356,586.4
2001-11-01,265.6779661016949,588.8
2001-12-01,264.61864406779665,589.6
2002-01-01,263.5593220338983,590.4
2002-02-01,263.9830508474576,591.2
2002-03-01,265.4661016949152,592.8
2002-04-01,265.0423728813559,593.6
2002-05-01,263.9830508474576,595.2
2002-06-01,262.5,597.1999999999999
2002-07-01,261.6525423728814,598.8000000000001
2002-08-01,263.3474576271186,600.8
2002-09-01,261.4406779661017,602.0
2002-10-01,260.59322033898303,604.8
2002-11-01,260.80508474576266,606.0
2002-12-01,259.9576271186441,608.0
2003-01-01,258.68644067796606,608.4000000000001
2003-02-01,258.05084745762707,611.2
2003-03-01,255.72033898305082,610.8
2003-04-01,254.87288135593218,611.2
2003-05-01,254.23728813559322,613.1999999999999
2003-06-01,255.50847457627114,614.4
2003-07-01,256.56779661016947,616.0
2003-08-01,255.9322033898305,616.8000000000001
2003-09-01,256.14406779661016,616.8000000000001
2003-10-01,256.56779661016947,616.8000000000001
2003-11-01,255.9322033898305,618.4
2003-12-01,254.66101694915255,618.8000000000001
2004-01-01,254.44915254237284,620.4
2004-02-01,254.44915254237284,621.1999999999999
2004-03-01,255.08474576271186,622.4
2004-04-01,255.50847457627114,623.6
2004-05-01,256.14406779661016,625.2
2004-06-01,256.77966101694915,626.8
2004-07-01,256.35593220338984,627.6
2004-08-01,254.87288135593218,629.1999999999999
2004-09-01,254.23728813559322,631.1999999999999
2004-10-01,254.87288135593218,632.4
2004-11-01,255.50847457627114,633.6
2004-12-01,253.81355932203385,634.4
2005-01-01,254.87288135593218,636.0
2005-02-01,254.23728813559322,637.2
2005-03-01,255.29661016949152,638.8
2005-04-01,254.02542372881354,640.4000000000001
2005-05-01,254.02542372881354,641.5999999999999
2005-06-01,252.96610169491527,643.1999999999999
2005-07-01,252.1186440677966,645.9999999999999
2005-08-01,253.1779661016949,646.8000000000001
2005-09-01,252.33050847457625,647.6000000000001
2005-10-01,252.1186440677966,651.2
2005-11-01,252.54237288135593,652.0
2005-12-01,251.27118644067795,654.4
2006-01-01,251.90677966101697,656.8000000000001
2006-02-01,249.57627118644066,659.2
2006-03-01,252.33050847457625,661.5999999999999
2006-04-01,253.38983050847457,665.1999999999999
2006-05-01,254.02542372881354,665.9999999999999
2006-06-01,254.44915254237284,668.8
2006-07-01,252.1186440677966,671.2
2006-08-01,253.81355932203385,672.8
2006-09-01,254.66101694915255,674.8000000000001
2006-10-01,253.81355932203385,677.2
2006-11-01,252.96610169491527,679.1999999999999
2006-12-01,253.81355932203385,682.0
2007-01-01,253.94067796610167,683.6
2007-02-01,254.73940677966098,686.4
2007-03-01,253.80720338983048,688.8
2007-04-01,252.8199152542373,690.8
2007-05-01,252.47033898305085,693.6
2007-06-01,251.22033898305082,696.4000000000001
2007-07-01,250.95127118644064,698.4
2007-08-01,249.7902542372881,700.0
2007-09-01,250.04872881355928,702.0
2007-10-01,250.92161016949152,703.1999999999999
2007-11-01,251.5614406779661,705.1999999999999
2007-12-01,252.8601694915254,707.2
2008-01-01,253.04661016949152,709.5999999999999
2008-02-01,251.91525423728814,712.0
2008-03-01,250.84533898305082,714.8000000000001
2008-04-01,251.54449152542372,716.8000000000001
